table_simplimed_old;fieldname;table_simplimed_new;fieldname;comment;
;;;;;
Tabelle_Patienten;ID0;tbl_tenant_entities;fld_id;will be reassigned;
Tabelle_Patienten;GuiID;tbl_tenant_entities;fld_guiid;will be reassigned;
Tabelle_Patienten;Anrede;tbl_tenant_entities;fld_salutation;;
Tabelle_Patienten;Titel;tbl_tenant_entities;fld_title;;
Tabelle_Patienten;Name;tbl_tenant_entities;fld_surname;;
Tabelle_Patienten;Vorname;tbl_tenant_entities;fld_firstname;;
Tabelle_Patienten;Straﬂe;tbl_tenant_entities;fld_street;;
Tabelle_Patienten;PLZ;tbl_tenant_entities;fld_zipcode;;
Tabelle_Patienten;Ort;tbl_tenant_entities;fld_city;;
Tabelle_Patienten;Land;tbl_tenant_entities;fld_country;;
Tabelle_Patienten;R_Rirma1;tbl_tenant_entities;fld_organisation;;
Tabelle_Patienten;Bemerkung;tbl_tenant_entities;fld_comment;;
Tabelle_Patienten;Passiv;tbl_tenant_entities;fld_passive;;
Tabelle_Patienten;;;;only if [VIP] = 1 and [Passiv]= 0;
;;;;;
Tabelle_Patienten;ID0;tbl_entity_main;fld_id;will be reassigned;
Tabelle_Patienten;GuiID;tbl_entity_main;fld_guiid;will be reassigned;
Tabelle_Patienten;IDP;tbl_entity_main;fld_tenant_id;will be reassigned;
Tabelle_Patienten;Name;tbl_entity_main;fld_surname;;
Tabelle_Patienten;Vorname;tbl_entity_main;fld_firstname;;
Tabelle_Patienten;Ort;tbl_entity_main;fld_city;;
Tabelle_Patienten;R_Rirma1;tbl_entity_main;fld_organisation;;
Tabelle_Patienten;Telefon5;tbl_entity_main;fld_email_private;;
Tabelle_Patienten;Telefon6;tbl_entity_main;fld_email_busines;;
Tabelle_Patienten;Telefon1;tbl_entity_main;fld_phone_home;;
Tabelle_Patienten;Telefon2;tbl_entity_main;fld_phone_business;;
Tabelle_Patienten;Telefon4;tbl_entity_main;fld_phone_mobile;;
Tabelle_Patienten;Internet;tbl_entity_main;fld_website;;
Tabelle_Patienten;Firma2;tbl_entity_main;fld_caption;;
Tabelle_Patienten;Grafik;tbl_entity_main;fld_photofile;;
Tabelle_Patienten;Em_User;tbl_entity_main;fld_username;;
Tabelle_Patienten;Em_Pass;tbl_entity_main;fld_password;;
Tabelle_Patienten;Kontoinhaber;tbl_entity_main;fld_account_holder;;
Tabelle_Patienten;IBAN;tbl_entity_main;fld_IBAN;;
Tabelle_Patienten;BIC;tbl_entity_main;fld_BIC;;
Tabelle_Patienten;Gesperrt;tbl_entity_main;fld_hidecalendar;;
Tabelle_Patienten;Passiv;tbl_entity_main;fld_passive;;
Tabelle_Patienten;;;;only if [VIP] = 0 and [Mitarbeiter] = 1 and [Passiv] = 0;
;;;;;
Tabelle_Patienten;ID0;tbl_contact_main;fld_id;will be reassigned;
Tabelle_Patienten;GuiID;tbl_contact_main;fld_guiid;will be reassigned;
Tabelle_Patienten;IDP;tbl_contact_main;fld_tenant_id;will be reassigned;
Tabelle_Patienten;IDZ;tbl_contact_main;fld_payment_id;will be reassigned;
Tabelle_Patienten;W‰hrung;tbl_contact_main;fld_currencies_id;will be reassigned;
Tabelle_Patienten;Versand;tbl_contact_main;fld_dispatch_id;will be reassigned;
Tabelle_Patienten;ID3;tbl_contact_main;fld_service_id;will be reassigned;
Tabelle_Patienten;Familienstand;tbl_contact_main;fld_marital_id;will be reassigned;
Tabelle_Patienten;Geschlecht;tbl_contact_main;fld_gender_id;will be reassigned;
Tabelle_Patienten;Mandant;tbl_contact_main;fld_customerid;;
Tabelle_Patienten;Ableitung;tbl_contact_main;fld_insurance_id;;
Tabelle_Patienten;IDKurz;tbl_contact_main;fld_displayname;;
Tabelle_Patienten;Anrede;tbl_contact_main;fld_salutation;;
Tabelle_Patienten;Titel;tbl_contact_main;fld_title;;
Tabelle_Patienten;Name;tbl_contact_main;fld_surname;;
Tabelle_Patienten;Vorname;tbl_contact_main;fld_firstname;;
Tabelle_Patienten;Straﬂe;tbl_contact_main;fld_street;;
Tabelle_Patienten;PLZ;tbl_contact_main;fld_zipcode;;
Tabelle_Patienten;Ort;tbl_contact_main;fld_city;;
Tabelle_Patienten;Land;tbl_contact_main;fld_country;;
Tabelle_Patienten;Firma1;tbl_contact_main;fld_organisation;;
Tabelle_Patienten;Telefon5;tbl_contact_main;fld_email_private;;
Tabelle_Patienten;Telefon5;tbl_contact_main;fld_email_busines;;
Tabelle_Patienten;Telefon1;tbl_contact_main;fld_phone_home;;
Tabelle_Patienten;Telefon2;tbl_contact_main;fld_phone_business;;
Tabelle_Patienten;Teleofn4;tbl_contact_main;fld_phone_mobile;;
Tabelle_Patienten;Internet;tbl_contact_main;fld_website;;
Tabelle_Patienten;Grafik;tbl_contact_main;fld_photofile;;
Tabelle_Patienten;Bemerkung;tbl_contact_main;fld_comment;;
Tabelle_Patienten;R_Briefanrede;tbl_contact_main;fld_letter_salutation;;
Tabelle_Patienten;Anschrift;tbl_contact_main;fld_address;;
Tabelle_Patienten;Geboren;tbl_contact_main;fld_birthday;;
Tabelle_Patienten;Datum;tbl_contact_main;fld_date_add;;
Tabelle_Patienten;Ge‰ndert;tbl_contact_main;fld_date_edit;;
Tabelle_Patienten;R_Anrede;tbl_contact_main;fld_salutation2;;
Tabelle_Patienten;R_Titel;tbl_contact_main;fld_title2;;
Tabelle_Patienten;R_Straﬂe;tbl_contact_main;fld_firstname2;;
Tabelle_Patienten;R_Vorname;tbl_contact_main;fld_surname2;;
Tabelle_Patienten;R_Name;tbl_contact_main;fld_street2;;
Tabelle_Patienten;R_PLZ;tbl_contact_main;fld_zipcode2;;
Tabelle_Patienten;R_Ort;tbl_contact_main;fld_city2;;
Tabelle_Patienten;R_Land;tbl_contact_main;fld_country2;;
Tabelle_Patienten;R_Firma1;tbl_contact_main;fld_organisation2;;
Tabelle_Patienten;Kontoinhaber;tbl_contact_main;fld_account_holder;;
Tabelle_Patienten;IBAN;tbl_contact_main;fld_IBAN;;
Tabelle_Patienten;BIC;tbl_contact_main;fld_BIC;;
Tabelle_Patienten;Beruf;tbl_contact_main;fld_profession;;
Tabelle_Patienten;Grˆﬂe;tbl_contact_main;fld_size;;
Tabelle_Patienten;Gewicht;tbl_contact_main;fld_weight;;
Tabelle_Patienten;Diagnose;tbl_contact_main;fld_medical_history;;
Tabelle_Patienten;Hinweis;tbl_contact_main;fld_notes;;
Tabelle_Patienten;Kartennummer;tbl_contact_main;fld_card_number;;
Tabelle_Patienten;Muttersprache;tbl_contact_main;fld_native_language;;
Tabelle_Patienten;Kopien;tbl_contact_main;fld_copies;;
Tabelle_Patienten;Rabatt;tbl_contact_main;fld_credit_balance;;
Tabelle_Patienten;Mailing;tbl_contact_main;fld_mailing;;
Tabelle_Patienten;Passiv;tbl_contact_main;fld_passive;;
Tabelle_Patienten;;;;only if [VIP] = 0 and [Mitarbeiter] = 0;
;;;;;
Tabelle_PatientenWv;ID2;tbl_appoint_main;fld_id;will be reassigned;
Tabelle_PatientenWv;GuiID;tbl_appoint_main;fld_guiid;will be reassigned;
Tabelle_PatientenWv;DAVID;tbl_appoint_main;fld_dav_guiid;will be reassigned;
Tabelle_PatientenWv;IDP;tbl_appoint_main;fld_tenant_id;will be reassigned;
Tabelle_PatientenWv;IDM;tbl_appoint_main;fld_entity_id;will be reassigned;
Tabelle_PatientenWv;ID0;tbl_appoint_main;fld_contact_id;will be reassigned;
Tabelle_PatientenWv;IDR;tbl_appoint_main;fld_location_id;will be reassigned;
Tabelle_PatientenWv;Farbtyp;tbl_appoint_main;fld_status_id;;
Tabelle_PatientenWv;Priorit‰t;tbl_appoint_main;fld_priority_id;;
Tabelle_PatientenWv;MasTer;tbl_appoint_main;fld_serial_number;;
Tabelle_PatientenWv;Datum;tbl_appoint_main;fld_date_add;;
Tabelle_PatientenWv;Change;tbl_appoint_main;fld_date_edit;;
Tabelle_PatientenWv;VonDat;tbl_appoint_main;fld_date_start;;
Tabelle_PatientenWv;BisDat;tbl_appoint_main;fld_date_end;;
Tabelle_PatientenWv;DAVDate;tbl_appoint_main;fld_dav_date;;
Tabelle_PatientenWv;OnlBook;tbl_appoint_main;fld_bookdate;;
Tabelle_PatientenWv;Farbe;tbl_appoint_main;fld_colorcode;;
Tabelle_PatientenWv;IDKurz;tbl_appoint_main;fld_subject;;
Tabelle_PatientenWv;Kommentar;tbl_appoint_main;fld_comment;;
Tabelle_PatientenWv;;tbl_appoint_main;fld_salutation;;
Tabelle_PatientenWv;;tbl_appoint_main;fld_title;;
Tabelle_PatientenWv;;tbl_appoint_main;fld_surname;;
Tabelle_PatientenWv;;tbl_appoint_main;fld_firstname;;
Tabelle_PatientenWv;;tbl_appoint_main;fld_street;;
Tabelle_PatientenWv;;tbl_appoint_main;fld_zipcode;;
Tabelle_PatientenWv;;tbl_appoint_main;fld_city;;
Tabelle_PatientenWv;;tbl_appoint_main;fld_country;;
Tabelle_PatientenWv;;tbl_appoint_main;fld_organisation;;
